Título,Visualizações,Likes,Comentários,Ref,Fundos Citados
"Fundos de CRIs (KNCR11, KNIP11, KNHY11, KNSC11 e KCRE11) - Resumo Mensal ref. Julho.22",26780,247,9, Julho.22,"KNCR11,KNIP11,KNHY11,KNSC11,KCRE11"
Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Julho.22,26060,254,12, Julho.22,KDIF11
Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Julho.22,38447,84,0, Julho.22,KNCA11
KNRI11 - Resumo Mensal do Kinea Renda ref. Julho.22,27318,465,19, Julho.22,KNRI11
Fundos de Ações Kinea - Resumo Mensal ref. Julho.22,23433,25,0, Julho.22,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Julho.22,562,74,1, Julho.22,KFOF11
Fundos Renda Fixa Kinea - Resumo Mensal ref. Julho.22,15740,45,1, Julho.22,
Crédito Privado Kinea - Resumo Mensal ref. Julho.22,18708,23,2, Julho.22,
Fundos Multimercados Kinea - Resumo Mensal ref. Julho.22,24924,75,2, Julho.22,
"Fundos de CRIs (KNCR11, KNIP11, KNHY11, KNSC11 e KCRE11) - Resumo Mensal ref. Junho.22",25745,139,0, Junho.22,"KNCR11,KNIP11,KNHY11,KNSC11,KCRE11"
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Junho.22,343,48,0, Junho.22,KFOF11
Resumo Mensal dos Fundos de Desenvolvimento Imobiliário - Kinea Even II e Even Permuta - Junho.22,519,56,7,,
Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Junho.22,40086,88,0, Junho.22,KNCA11
KNRI11 - Resumo Mensal do Kinea Renda ref. Junho.22,29160,644,37, Junho.22,KNRI11
Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Junho.22,22260,196,5, Junho.22,KDIF11
Fundos de Ações Kinea - Resumo Mensal ref. Junho.22,18050,55,2, Junho.22,
Fundos Multimercados Kinea - Resumo Mensal ref. Junho.22,1411,141,2, Junho.22,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Junho.22,25680,48,2, Junho.22,
Crédito Privado Kinea - Resumo Mensal ref. Junho.22,26331,26,0, Junho.22,
Resumo Mensal dos Fundos de Desenvolvimento Imobiliário - Kinea Even II e Even Permuta - Maio.22,383,38,2,,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Maio.22,510,67,2, Maio.22,KFOF11
Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Maio.22,34883,131,4, Maio.22,KNCA11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Maio.22",26750,152,5, Maio.22,"KNCR11,KNIP11,KNHY11,KNSC11"
KNRI11 - Resumo Mensal do Kinea Renda ref. Maio.22,21679,683,58, Maio.22,KNRI11
Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Maio.22,21384,115,2, Maio.22,KDIF11
Fundos de Ações Kinea - Resumo Mensal ref. Maio.22,25273,50,1, Maio.22,
Crédito Privado Kinea - Resumo Mensal ref. Maio.22,9973,34,0, Maio.22,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Maio.22,8716,34,0, Maio.22,
Fundos Multimercados Kinea - Resumo Mensal ref. Maio.22,32550,97,1, Maio.22,
KNRI11 - Resumo Mensal do Kinea Renda ref. Abril.22,51555,243,6, Abril.22,KNRI11
Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Abril.22,45472,151,6, Abril.22,KDIF11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Abril.22",46155,157,3, Abril.22,"KNCR11,KNIP11,KNHY11,KNSC11"
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Abril.22,346,32,0, Abril.22,KFOF11
Fundos de Ações Kinea - Resumo Mensal ref. Abril.22,15228,16,0, Abril.22,
Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Abril.22,41715,66,7, Abril.22,KNCA11
Crédito Privado Kinea - Resumo Mensal ref. Abril.22,10654,28,0, Abril.22,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Abril.22,295,25,1, Abril.22,
Fundos Multimercados Kinea - Resumo Mensal ref. Abril.22,37034,90,0, Abril.22,
KNRI11 - Resumo Mensal do Kinea Renda ref. Março.22,51277,258,8, Março.22,KNRI11
Fundo Kinea Crédito Agro - FIAGRO (KNCA11) - Resumo Mensal ref. Março.22,73412,119,7, Março.22,KNCA11
Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Março.22,75359,191,4, Março.22,KDIF11
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Março.22,495,48,0, Março.22,KFOF11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Março.22",38064,173,1, Março.22,"KNCR11,KNIP11,KNHY11,KNSC11"
Fundos de Ações Kinea - Resumo Mensal ref. Março.22,25992,26,1, Março.22,
Crédito Privado Kinea - Resumo Mensal ref. Março.22,23604,25,1, Março.22,
Fundos Multimercados Kinea - Resumo Mensal ref. Março.22,45139,72,1, Março.22,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Março.22,39418,25,0, Março.22,
KFOF11 - Resumo Mensal do Kinea FOF FII ref. Fevereiro.22,476,41,0, Fevereiro.22,KFOF11
KNRI11 - Resumo Mensal do Kinea Renda ref. Fevereiro.22,65467,196,0, Fevereiro.22,KNRI11
Fundo de Infraestrutura KDIF11 - Resumo Mensal do Kinea Infra ref. Fevereiro.22,41098,101,0, Fevereiro.22,KDIF11
"Fundos de CRIs (KNCR11, KNIP11, KNHY11 e KNSC11) - Resumo Mensal ref. Fevereiro.22",49647,151,0, Fevereiro.22,"KNCR11,KNIP11,KNHY11,KNSC11"
Crédito Privado Kinea - Resumo Mensal ref. Fevereiro.22,46005,22,0, Fevereiro.22,
Fundos Renda Fixa Kinea - Resumo Mensal ref. Fevereiro.22,26750,23,0, Fevereiro.22,
Fundos de Ações Kinea - Resumo Mensal ref. Fevereiro.22,29128,21,0, Fevereiro.22,
Fundos Multimercados Kinea - Resumo Mensal ref. Fevereiro.22,36627,58,0, Fevereiro.22,
